P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P07916577A0190|140 165|zinc finger-containing cDNAs
P11106428A0635|140 164|glutathione-S-transferase
P02903500A0278|140 163|immunoglobulin heavy chain
P01431380A0244|140 162|anti-SF group rickettsiae
P06319421A0937|140 161|alpha 2-adrenoreceptors
P08106325A0000|140 158|diphtheria toxin gene
P08388496A1117|140 157|BamHI-A transcripts
P11014213A1019|140 156|chimeric receptors
P08350398A1616|140 156|class I heavy (alpha
P10913304A1180|140 155|C-terminal domain
P11014215A1092|140 153|human GnRHR gene
P09079878A0000|140 152|pre-lactocin S
P10096573A0207|140 152|GRO-alpha gene
P10777217A0536|140 151|PIG3 promoter
P07910716A0359|140 151|rIFN-alpha 2b
P08455623A0630|140 150|snr10 mutant
P08806693A0584|140 149|luciferase
P08002564A0249|140 148|rpoAL290H
P09833740A1112|140 148|TNF-alpha
P08088818A1053|140 148|RAD52 gene
P03619249A0428|140 148|serum, HBs
P10942587A0981|140 148|E7 protein
P07657162A1412|140 148|HMG domain
P09451003A0894|140 147|Esigma54
P01527020A0511|140 146|rat gene
P10464310A0218|140 145|FGFR-1
P08386319A1229|140 144|Mpk1p
P07579695A0336|140 144|NDC10
P08533757A0204|140 144|BRCA1
P08561897A0604|140 143|CREB
P09755191A0553|140 143|CHC1
P07498727A0724|140 143|rad6
P07983716A1082|140 143|Y88S
P10200473A0171|140 143|MRIT
P09006051A1162|140 143|PrpC
P08139562A0404|140 143|GCN4
P08589735A0577|140 143|Act1
P08466864A0878|140 143|CREB
P09837907A0857|140 143|AP-1
P08995410A1109|140 142|p40
P10403839A1459|140 142|Ahr
P10779313A1842|140 142|PKA
P10805738A0799|140 142|p38
P11313342A0224|140 142|PAP
P10894149T0000|140 142|SF1
P07528531A0904|140 142|CRP
P10915780A1063|140 142|ILK
P09339900A0939|140 142|Sp1
P08732665A0000|141 173|tyrosine-phosphorylated p185erbB-2
P02789062A1420|141 165|NF-4FB recognition sequence
P11209100A0069|141 161|interleukin-1 receptor
P11292839A0531|141 159|TATA-binding protein
P09108029A0399|141 154|AP endonuclease
P09138076A1099|141 154|E-box 2 elements
P09234743A0475|141 153|alpha-complex
P09642214A0244|141 152|SHP-2 mutants
P09334330A0252|141 151|Smad protein
P01656221A1319|141 150|FGFR family
P08647434A1124|141 150|holo-TFIID
P01454819A0000|141 150|EC 3.2.2.19
P09265642A0668|141 150|sop mutants
P09498553A0702|141 149|CYP51 gene
P07681147A1420|141 149|pp60c-src
P02342477A1292|141 148|mannose 6
P09428799A0897|141 147|P450scc
P10473598A0691|141 146|Skn-1a
P02806916A0000|141 146|Sau3AI
P07782302A0479|141 145|HTF9A
P11122381A0908|141 145|STAT5
P08977235A0588|141 145|STAT1
P09799362A1463|141 145|Azf1p
P10964995A2152|141 145|HER-2
P11179687A0280|141 144|PTPs
P09892736A0343|141 144|ORC1
P03039177A0503|141 144|SmaI
P10846054A0573|141 144|RNA 2
P08223613A0105|141 144|glc6
P09590540A0513|141 144|Sal1
P09427844A0739|141 144|dGuo
P10652362A0933|141 144|AP-2
P11564871A1184|141 144|Pols
P08643578A0000|141 144|lacZ
P07799950A0282|141 144|CREB
P11319098A0164|141 144|PkwR
P06782869A0263|141 143|LDH
P10477620A0580|141 143|IKK
P01321277A0342|141 143|UR2
P08552387A0000|141 143|EWS
P06671047A1124|141 142|LD
P01708098A0922|141 142|GR
P08631934A0000|141 141|G
P11278461A0637|142 186|rainbow trout and chinook salmon HIF-1alpha protein
P09370307A0093|142 167|MYB-like DNA binding proteins
P10931927A0655|142 164|HIV reverse transcriptase
P09862343A0225|142 164|co-stimulatory molecules
P01394200A0592|142 161|interleukin 2 receptor
P08573083A0645|142 161|human insulin promoter
P02229068A0156|142 160|nucleolar rev protein
P01285009A0000|142 159|rat cholecystokinin
P01699944A1538|142 159|cardiac alpha-actin
P11179956A1818|142 158|N-terminal domains
P07826625X0000|142 156|RNA polymerase II
P02159470A1432|142 153|nuclear genes
P11226752A0750|142 153|bHLH) protein
P08892859A0563|142 152|c-myb allele
P10980416T0000|142 151|rat BSP gene
P09566871A0343|142 150|integrase
P11054565A0654|142 150|GAP domain
P10865940A0000|142 150|NF-kappaB
P10628750A0298|142 150|NF-kappaB
P11250196A0455|142 149|Protein S
P07999066A0238|142 148|tat gene
P09572990A0630|142 147|avidin
P08429019A0735|142 147|GATA-1
P09278441A1160|142 147|tinman
P08688556A0242|142 147|scd1-i
P02111015A0574|142 146|IRF-2
P10675331A0600|142 146|Stat3
P09501982A1178|142 146|XCoe2
P09531549A0658|142 146|actin
P11133986A0350|142 146|c-Fos
P11005831A0242|142 146|AREB3
P09058323A1287|142 146|beta 4
P11012680A1020|142 146|PDGFR
P07505798A0000|142 146|H-2Kd
P10094314A0935|142 146|SRp20
P02758382A0478|142 145|SHBG
P10231485A0342|142 145|TtrC
P08149484A1551|142 145|AP-1
P08969495A0256|142 145|nrdE
P09539779A0621|142 145|All1
P10477597A0126|142 145|SAPK
P08253387A1291|142 145|hLEF
P01717718A1255|142 144|Gag
P11278928A1634|142 144|p30
P08524267A1022|142 144|myc
P10866689A0295|142 144|E12
P07831310A0000|142 144|NIb
P08556707A1390|142 144|p53
P08723352A0084|142 144|pRb
P09085842A0181|142 144|SF2
P10440923A0684|142 144|p27
P10202006A1266|142 143|VH
P07926775A0895|142 143|wg
P01518849A0165|143 184|forming alpha 1-proteinase inhibitor complexes
P01767592A0682|143 174|BAF1 consensus recognition sequence
P11191208A0000|143 172|ABC binding cassette transporters
P11059786T0000|143 171|phosphatidylinositol 3'-kinase
P11404016A1922|143 171|non-ribosomal peptide synthases
P09218459A0000|143 170|growth factor-responsive genes
P09422727A0196|143 159|CRE binding protein
P08582143A0614|143 156|beta-lactamase
P09447973A0168|143 156|MyrSos1-deltaC
P09064659A1055|143 154|human homolog
P09252406A0511|143 154|a phosphatase
P00898500A0246|143 153|IgE antibody
P08093450A0688|143 153|NRF-1 motifs
P07499252A0150|143 152|PI 3-kinase
P02145268A0746|143 152|COL3A1 gene
P10037681A0494|143 152|RhoAVal-14
P08662852A1297|143 151|rhodopsin
P07935451T0000|143 151|c-rel gene
P10805286A0233|143 149|PCI mRNA
P09480843A0848|143 149|rat RL14
P11669476A0346|143 149|insulin
P09687511A1091|143 147|G-CSF
P09786932A1042|143 147|IRF-7
P07528028A1192|143 147|FGF-1
P11071924A0588|143 147|c-Cbl
P09649501A0358|143 147|HSBP1
P09130700A0676|143 146|TUB4
P01720843A1506|143 146|EDRF
P08972182A0527|143 146|CrmA
P10613874A0663|143 146|GlnR
P08896280A0860|143 146|yvh1
P01547957A1083|143 146|CYP1
P10825200T0000|143 146|STAT
P10559364A0846|143 146|UL44
P07799925A0526|143 145|p62
P10601290A0742|143 145|I1F
P11238447A0524|143 145|CAN
P10972990A0526|144 180|hypoxanthine phosphoribosyl transferase
P08702633A0164|144 177|Ras guanine nucleotide exchange factor
P10627532A0739|144 174|cellular transcription factor ATF2
P09360422A0135|144 173|plasminogen activator-inhibitor
P09205965A1249|144 169|spinal alpha 1-adrenoceptors
P11353774A0255|144 169|forkhead homeotic gene family
P10414451A0093|144 168|anticardiolipin antibodies
P09582953A0000|144 164|coagulation factors VII
P08386592A0089|144 164|Elk-1 C-terminal region
P10894149T0000|144 163|steroidogenic factor 1
P09817373A0000|144 162|nitric oxide synthase
P01744119A0757|144 161|63-kDa gene 4 protein
P07696878A0222|144 161|homeodomain protein
P08188290A0544|144 160|TCRAJ gene segments
P08977401A0227|144 160|RI alpha pseudogene
P01413984A0737|144 158|antithrombin III
P07836218A0128|144 157|beta-endorphin
P10657658A0165|144 157|ICAM-1 promoter
P09228202A0581|144 156|5-HT3 receptor
P09442024A0708|144 156|Jacalin lectin
P09305944A0621|144 156|yeast proteins
P02163382A0169|144 152|lac operon
P08428953A1718|144 152|L-plastin
P10628971A0824|144 150|dynamin
P07744846A1006|144 148|Bcl-2
P08891346A1217|144 148|FGF8e
P11145743A0170|144 148|Pax-8
P08552096A0151|144 148|cdc34
P08548291A1059|144 148|Elk-1
P07563090A0124|144 147|PPT1
P08660892A1044|144 147|MyoD
P10491187T0000|144 147|ptsH
P11011139A0000|144 147|Sin4
P08632015A1226|144 147|DREF
P11325944A0511|144 147|UhpB
P08223875A0711|144 147|CD45
P08523545T0000|144 146|ATF
P11040101A1180|144 146|JNK
P10080875A0772|144 146|p50
P08995410A1109|144 146|p36
P10506143A0610|144 146|EGF
P09199327A1250|144 146|Max
P11730182A0984|144 144|p
P07666414A0614|145 176|tissue-specific anti-tropomyosins
P09275164A0000|145 176|RNA (guanine-7)-methyltransferase
P09105042A1497|145 173|mutant myosin heavy chain protein
P03934667A0124|145 171|wild-type rpoD coding sequence
P10933732A0000|145 170|interferon regulatory factor
P07829519A1251|145 170|immunoglobulin mu heavy chain
P10082137A0262|145 168|alpha1(I) procollagen mRNA
P07428037A0989|145 165|small ribosomal subunit
P10725433A0543|145 164|CREB-binding sequence
P10454561A0594|145 160|IkappaBalpha gene
P08084339A0907|145 159|TCR C alpha region
P08749394A0874|145 159|Drosophila Notch
P07745696A0932|145 158|SalI O fragments
P09021684A1418|145 157|NF-kappa B2p52
P09360953A1057|145 157|PTH-1 receptor
P02473718A0000|145 156|T-suppressor
P10727433A0560|145 155|uPA promoter
P08649841A0956|145 154|CAT protein
P09227799A0254|145 154|egg antigen
P10836786A0516|145 153|RNase P RNA
P09447962A1027|145 153|rhis4 mRNA
P09620955A0370|145 153|lac operon
P01828248A0189|145 152|helicase
P07729427A0942|145 152|hTAFII30
P09049304A1193|145 152|TGF alpha
P09580700A0841|145 150|DNase I
P09346935A0927|145 150|pol IIo
P08654375A0544|145 149|Oct-1
P10648020A0151|145 149|PAI-1
P02204029A0184|145 149|N-ras
P09135149A0000|145 149|Cdc25
P09011744A0790|145 149|Grinl
P09804836A0000|145 148|pp37
P08383217A0357|145 148|VP16
P11029704A0378|145 148|ABI3
P10071761A2374|145 148|UCP2
P10603349A1667|145 148|Myf5
P08561897A0604|145 147|ATF
P09169420A0000|145 147|p55
P03025655T0000|145 147|fps
P10607566A0880|145 147|RAR
P09649438A0182|145 147|Tat
P09581834A2578|145 147|SHC
P11080796A1277|145 147|Tax
P09524259A0301|145 146|IR
P08106512A0522|146 172|interferon regulatory factor 1
P10688660A0992|146 172|progesterone response element
P08204403A0000|146 171|CA 19-9 monoclonal antibodies
P10209119A0076|146 167|cyclin-dependent kinase
P10918572A1547|146 164|TGF-alpha precursors
P01407286A0427|146 164|tyrosine hydroxylase
P10871045A1221|146 161|C/EBP binding site
P07823953A0777|146 160|protein-protein
P08139539A0446|146 159|protein kinase A
P11181531A0464|146 158|interleukin-6
P08005230A0222|146 155|luciferase
P11340085A0211|146 155|C/EBPalpha
P01326329A0703|146 155|CCAAT boxes
P11056007A0224|146 154|Trithorax
P10373507A0680|146 154|SM22alpha
P09990315A0205|146 153|thrombin
P08660998A0851|146 151|mMIWC1
P03034570A0943|146 150|ORF E7
P08750190A0000|146 150|CD44v
P06407348A0516|146 150|beta1
P09837715A0581|146 150|HIV-1
P09190202A0166|146 149|p150
P07896088A0720|146 149|RIF1
P09182990A0245|146 149|eRF1
P10866689A0295|146 149|Lmo2
P10358080A1114|146 149|HSF1
P07579695A0336|146 149|CBF2
P10440923A0684|146 149|kip1
P08245456A0501|146 149|IL-5
P01717718A1255|146 148|Pol
P10197985A0145|146 148|U11
P10899142A0000|146 148|LGR
P09085842A0181|146 148|ASF
P09084174A0667|146 148|Asd
P11393791A1153|147 182|reverse-transcription polymerase chain
P09916786A0811|147 178|bone-specific alkaline phosphatase
P01849509T0000|147 171|Staphylococcus aureus IS256
P02473907A1338|147 167|Fc epsilon R binding site
P09259315A0809|147 167|CSEn enhancer/silencer
P09638650A0169|147 167|26 kDa movement protein 1
P08474439A0877|147 166|MEF1 (Right E-box) site
P09686603A0124|147 165|TCR beta gene segments
P08902847A1946|147 159|hCG alpha 1 beta
P02910496A0583|147 158|RNAase MRP RNA
P07544357A0808|147 157|CD44 variant
P08439597A0000|147 157|thyrotropin
P10319327A1237|147 157|bHLH protein
P02868446A0184|147 156|RPase alpha
P08703010A0905|147 156|GAP-43 gene
P07655184A0852|147 156|ER sequence
P07958920A1157|147 155|RNase P RNA
P08113736A0309|147 155|CRSV RNA-1
P09872832A1262|147 155|TNF-alpha
P07916003A0688|147 155|human gene
P08219227A0830|147 154|AP-1 site
P07983716A1082|147 154|Y88L RNAs
P05960999T0001|147 154|anti-CRP
P08626667A1517|147 153|GPT gene
P07782302A0479|147 152|RanBP1
P10194762A0648|147 152|ERK1/2
P11238447A0524|147 152|nup214
P08816052A0238|147 152|K-SNAP
P08283292A0779|147 152|pectin
P07813466A0074|147 151|hsc70
P10660304A0522|147 151|STAT3
P02107073A0584|147 151|STE18
P08576042A0765|147 150|dnaK
P09427844A0739|147 150|dCyd
P08627719A0784|147 150|CstF
P11282395A0530|147 150|Nbs1
P09393717A1517|147 150|mutA
P09710582A0535|147 150|AP-1
P10715325A0834|147 150|EIN2
P02165589A0888|147 149|jun
P08441394A1297|147 149|Ras
P10454568A0815|147 149|EGF
P02185250A0726|147 149|SRP
P11196199T0000|147 149|p53
P02164604A1574|147 148|E2
P11020375A0134|147 148|AF
P08580083A0259|148 183|chloramphenicol acetyltransferase gene
P09792630A1127|148 182|terminal deoxynucleotidyltransferase
P11005831A0242|148 182|ABA-responsive element binding protein
P06782869A0263|148 171|serum alkaline phosphatase
P09171389A0549|148 170|PyrR attenuation proteins
P07080496A0097|148 170|low-density lipoproteins
P07453919A0000|148 167|non-specific esterase
P08382359A0469|148 166|pRb-binding sequence
P08524314A0216|148 166|DNA-binding proteins
P08021177A0000|148 166|Fur repressor protein
P09058373A1620|148 166|full-length receptor
P08798610A0843|148 165|GTP-binding protein
P07559355A0066|148 165|Proteus gene cluster
P03004739A0753|148 164|CAT binding protein
P11287623A0286|148 163|integrin subunits
P02233729A1065|148 162|Dhfr transcripts
P10544089A1208|148 162|CR)-MP-CP-3'UTR
P02480959A0470|148 160|gonadotropins
P07624119A0528|148 160|a reporter gene
P11416012A1982|148 160|full-sequence
P08308008A0201|148 160|COXIV promoter
P08589735A0577|148 159|CaMV 35S genes
P08057421A1583|148 159|CD23 promoter
P08692892A0330|148 159|alpha-factor
P08808120A0774|148 158|transferrin
P11105717A0123|148 157|hemoglobin
P09328343A0181|148 157|bHLH family
P10943891A1062|148 157|active site
P07592485A0734|148 156|ure2 delta
P09409774A0214|148 156|VCSB1 gene
P10441506A0098|148 155|CZ region
P09573374A0687|148 155|IRF1 gene
P07508441A0487|148 154|56K cDNA
P09058323A1287|148 153|alpha 3
P08196616A1112|148 153|ZAP-70
P08951815A0465|148 152|Gcn4p
P10585453A1029|148 152|Pit-1
P10026824A0309|148 152|Gq/11
P09287352A0930|148 152|SHP-1
P11012680A1020|148 152|FGFR1
P10556028A0292|148 151|BD-1
P07888306A1659|148 151|Ca2+
P10691972T0000|148 151|MRP3
P08417331A0745|148 151|Tup1
P11238405A0817|148 151|atf1
P07789342A1352|148 150|TSH
P09892736A0343|148 150|KSR
P09234720A1015|148 150|MEK
P07588240A0000|148 150|ICE
P10602507A0652|148 150|p21
P10318806A0000|148 150|p38
P01713213A0488|148 150|GST
P07836364A0000|148 150|APC
P11357063A0138|148 149|LH
P02354381A0207|148 148|H
P07596287A0183|149 192|ATP-binding cassette membrane transport proteins
P01358758A0000|149 189|beta-cell-specific transcriptional enhancer
P02154686A0185|149 174|polyomavirus enhancer region
P10318806A0918|149 172|GTPase-activating protein
P10775585A0754|149 172|mitogen-activated protein
P08208540A0417|149 168|DNA-binding rel domain
P10778740A1493|149 168|HIS3 chromosomal locus
P08149484A1551|149 165|non-AP-1 sequences
P02083230A0938|149 164|C-terminal domain
P09343210A1112|149 162|VCAM-1 promoter
P09420239A1937|149 160|TATA box sites
P02293019A0000|149 159|cathepsin-G
P02708353A1080|149 158|P-450e gene
P09540062A0755|149 158|H4 promoter
P11310937A0548|149 158|fibrinogen
P01531632A0000|149 157|GAR domain
P10497199A0559|149 157|COUP-TFII
P09162097A1258|149 157|MAdCAM-1 C
P11408604A1440|149 154|ERK1/2
P07959760A0763|149 154|c-ets 1
P08647264T0000|149 153|CPP32
P09233809A0381|149 153|Hnf3g
P10347220A1477|149 153|Abd1p
P07929431A0949|149 153|INS-1
P08119958A0273|149 153|PKC mu
P09130700A0676|149 153|SPC98
P08760889A0531|149 152|H2A1
P11280799A1025|149 152|IL-8
P08969495A0256|149 152|nrdF
P02269426A0428|149 151|Tat
P07608968A0836|149 151|TBP
P10428862A0834|149 151|EGF
P08631797A0982|149 151|NDF
P07651398A0257|149 151|DER
P09858577A1186|149 151|HOG
P01452037A0000|149 151|TIM
P09677410A1059|149 151|HBx
P11069307A0546|149 151|p20
P09169420A0000|149 151|PIK
P10704499A0682|149 151|fyn
P08624445A0257|149 150|Ac
P09710641A0000|150 196|alphaB-, alphaA-, delta1-, and zeta-crystallin genes
P02648646A0932|150 173|platelet activating factor
P07628456A0000|150 172|Escherichia coli RNase III
P11371417A0744|150 170|interleukin (IL)-1beta
P07877619A1284|150 168|RA-responsive region
P10598101A0754|150 166|22 kDa zein promoter
P09346935A0459|150 164|RNA polymerase II
P09398332A0732|150 164|SH2 binding motif
P01968224A0119|150 163|Drosophila PCNA
P02743981A0347|150 163|NAB transcripts
P01547775A1024|150 162|PLRV replicase
P10899128A0661|150 162|mammalian gene
P02523800A1178|150 161|BAR1 promoter
P04071063A0863|150 161|antithrombin
P10613874A0663|150 161|GlnA proteins
P02164637A0515|150 160|cdc25 mutant
P08666404A0311|150 159|human PPP5C
P08922390A2076|150 159|LIM domains
P09581775A0185|150 157|PLB-IIIB
P11031252A0646|150 157|PKC delta
P09420252A0092|150 156|env gene
P03818467A0180|150 155|GSH-Px
P07642633T0000|150 154|TEF-1
P07878029A0721|150 154|CBF-A
P10760109A1050|150 154|IGF-1
P11003641A0811|150 154|Fcp1p
P08523545T0000|150 154|Oct-1
P07744846A1006|150 154|Bcl-2
P09315632A1137|150 154|FGFR3
P09202669A0614|150 153|neoR
P10835355A0225|150 153|SSA3
P10207087A0956|150 153|AML1
P10890911A0470|150 153|twin
P01547957A1083|150 153|CYP2
P08200528A0970|150 153|pPGK
P08816459A0090|150 152|RAR
P10358075A0984|150 152|PKB
P10541432A0185|150 152|EGF
P08246984A0923|150 152|p85
P08892755A0981|150 152|CAT
P03023859A0000|150 152|bcr
P10080875A0772|150 152|p65
P09368058A0969|150 152|CAK
P11538437A0568|150 151|N2
P02354381A0207|150 150|S
P01653238A1062|151 179|transforming growth factor beta 1
P09716183A1036|151 173|TBP amino-terminal domain
P08972182A0527|151 171|synthetic tetrapeptide
P08106313A1492|151 170|HrpL-responsive genes
P01735721A0185|151 169|B. subtilis TyrTS gene
P08460918A0252|151 169|alkaline phosphatase
P07835886A0894|151 168|alpha 1-antitrypsin
P09096958A0000|151 165|antibodies TA205
P08891345A0684|151 165|beta-globin mRNA
P07582592A0545|151 164|botulinum toxin
P09884232A0286|151 163|integrase gene
P10464310A0218|151 162|Crk SH2 domain
P11179687A0280|151 162|receptor PTPs
P10987301A0332|151 162|herpes virus 8
P10366503A0812|151 159|terminase
P07797583A0222|151 158|PCNA gene
P08660892A1044|151 156|Mef-2C
P11357063A0138|151 156|CGbeta
P07483276A0139|151 155|HSV-1
P11133986A0350|151 155|c-Jun
P01985920A0156|151 154|SCP2
P08876167A0717|151 154|gp91
P09566918A1115|151 154|PRDI
P10469174A0678|151 154|MBF1
P08561897A0604|151 154|AP-1
P08075070A1632|151 153|HTH
P10749849A0000|151 153|p21
P08816504T0000|151 153|Ras
P02941237A0160|152 188|alkaline phosphatase and pyrophosphatase
P07568118A1267|152 186|growth factor tyrosine kinase receptors
P02083253A1512|152 185|T-cell-specific transcription factor
P10559364A0846|152 183|single-stranded DNA binding protein
P08093616T0000|152 182|proliferating cell nuclear antigen
P10671519A0641|152 180|lamina-associated polypeptide 2
P09278441A1160|152 177|Drosophila melanogaster gene
P08844448A0000|152 173|gastrointestinal lipase
P01536575A1213|152 172|cytochrome P450IA1 gene
P06818113A0384|152 171|plasminogen activator
P11181516A0119|152 170|rat insulin I promoter
P00264240A1843|152 170|X. laevis oocyte 5S DNA
P06527872T0000|152 168|an acid phosphatase
P08196624A0593|152 166|type II receptors
P10403839A0140|152 161|mouse BMAL1
P06151942A0235|152 160|gamma-GTP
P10197985A0145|152 160|U12 snRNPs
P08776735A0000|152 160|rLHR-t653
P10704285A0536|152 160|AP-2alpha
P11023832A1038|152 160|MAP kinase
P08182041A1067|152 158|insulin
P10517675A0809|152 158|p27kip1
P08665853A0228|152 157|ErbB-1
P08337841A0612|152 156|G gene
P10891399A1185|152 156|c-fos
P10233147A0218|152 156|Cyr1p
P11282395A0530|152 156|Mre11
P09855111A0905|152 156|SREBP
P10593939A0747|152 156|SRZ21
P03619249A0428|152 156|HBc Ag
P10747053A1102|152 156|TAF17
P08654375A0544|152 156|Oct-2
P01774063A0161|152 155|Fshb
P11029704A0378|152 155|ABI3
P08432137A0000|152 155|PLYS
P11560992A0651|152 155|MKK4
P09368057A1083|152 154|SRF
P11559789A0314|152 154|ASF
P11287578A1311|152 153|E6
P01524549A0241|152 153|GH
P01316680A0643|152 152|H
P08756332A0000|153 195|Ral-specific guanine nucleotide exchange factor
P11254504A0766|153 178|myeloid zinc finger protein-1
P07537851A0000|153 176|tumor necrosis factor alpha
